Timestamp,StockSymbol,Price,TradeVolume,InvestorNote
1929-10-01T09:00:00,FORD,22.50,15000,"Strong demand for Model A"
1929-10-01T09:15:00,GE,395.25,8000,"Radio boom driving growth"
1929-10-01T09:30:00,RCA,101.75,12000,"Buy RCA before radio peaks"
1929-10-01T10:00:00,USST,235.10,6000,
1929-10-01T10:15:00,FORD,22.75,18000,"Heard crash rumors, sell soon"
1929-10-01T10:30:00,GE,398.50,9000,
1929-10-01T11:00:00,RCA,102.25,11000,"Market feels shaky"
1929-10-01T11:15:00,USST,236.00,7000,"Steel demand steady"
1929-10-01T12:00:00,FORD,22.30,20000,
1929-10-01T12:15:00,GE,400.10,8500,"Overvalued? Some say crash"
1929-10-02T09:00:00,RCA,100.50,13000,
1929-10-02T09:15:00,USST,234.75,6500,"Banks nervous about loans"
1929-10-02T09:30:00,FORD,22.10,22000,
1929-10-02T10:00:00,GE,397.80,9500,
1929-10-02T10:15:00,RCA,99.90,14000,"Sell before crash hits"
1929-10-02T10:30:00,USST,233.50,7200,
1929-10-02T11:00:00,FORD,21.95,25000,"Panic selling soon?"
1929-10-02T11:15:00,GE,396.25,8800,
1929-10-03T09:00:00,RCA,98.75,16000,
1929-10-03T09:15:00,USST,232.10,6900,"Steel stocks holding"
1929-10-03T09:30:00,FORD,21.80,27000,
1929-10-03T10:00:00,GE,394.50,9200,"Crash whispers growing"
1929-10-03T10:15:00,RCA,97.50,17000,
1929-10-03T10:30:00,USST,231.00,7400,
1929-10-03T11:00:00,FORD,21.60,29000,"Market on edge"
1929-10-04T09:00:00,GE,392.75,9600,
1929-10-04T09:15:00,RCA,96.25,18000,
1929-10-04T09:30:00,USST,229.80,7600,
1929-10-04T10:00:00,FORD,21.40,31000,"Crash fears spiking"
1929-10-04T10:15:00,GE,390.10,9800,
1929-10-05T09:00:00,RCA,95.00,19000,"Radio stocks slipping"
1929-10-05T09:15:00,USST,228.50,7800,
1929-10-05T09:30:00,FORD,21.20,33000,
